index,Przeciwnik,Gole strzelone,Gole stracone,Miejsce,Dzień_tygodnia,Godzina,Waznosc
160,Śląsk Wrocław,1,0,U siebie,Niedziela,15:00,0.9
161,Piast Gliwice,0,1,Na wyjeździe,Sobota,17:45,0.6
162,Legia Warszawa,2,4,Na wyjeździe,Niedziela,17:30,0.6
163,Raków Częstochowa,1,0,U siebie,Sobota,20:00,0.9
164,Lechia Gdańsk,2,1,U siebie,Sobota,17:45,0.9
165,Jagiellonia Białystok,1,1,Na wyjeździe,Niedziela,15:00,0.6
166,Górnik Zabrze,2,2,U siebie,Sobota,20:00,0.9
167,Warta Poznań,1,0,Na wyjeździe,Sobota,17:45,0.6
168,Cracovia Kraków,0,0,U siebie,Niedziela,15:00,0.9
169,Stal Mielec,1,1,Na wyjeździe,Sobota,17:45,0.6
170,Zagłębie Lubin,3,1,U siebie,Sobota,20:00,0.9
171,Podbeskidzie Bielsko-Biała,4,1,U siebie,Sobota,20:00,0.9
172,Wisła Kraków,2,1,Na wyjeździe,Niedziela,12:30,0.6
173,Śląsk Wrocław,0,1,Na wyjeździe,Sobota,17:45,0.6
174,Piast Gliwice,2,0,U siebie,Sobota,20:00,0.9
175,Legia Warszawa,3,0,U siebie,Niedziela,17:30,0.9
176,Raków Częstochowa,1,1,Na wyjeździe,Poniedziałek,18:00,0.6
177,Lechia Gdańsk,1,1,Na wyjeździe,Sobota,15:00,0.6
178,Jagiellonia Białystok,2,0,U siebie,Sobota,17:45,0.9
179,Górnik Zabrze,3,2,Na wyjeździe,Niedziela,15:00,0.6
180,Warta Poznań,0,0,U siebie,Sobota,20:00,0.9
181,Cracovia Kraków,1,0,Na wyjeździe,Sobota,17:45,0.6
182,Stal Mielec,2,1,U siebie,Niedziela,12:30,0.9
183,Zagłębie Lubin,1,1,Na wyjeździe,Sobota,15:00,0.6
184,Podbeskidzie Bielsko-Biała,2,0,Na wyjeździe,Sobota,17:45,0.6
185,Wisła Kraków,3,0,U siebie,Sobota,20:00,0.9
186,Śląsk Wrocław,1,0,U siebie,Niedziela,15:00,0.9
187,Piast Gliwice,0,1,Na wyjeździe,Sobota,17:45,0.6
188,Legia Warszawa,2,4,Na wyjeździe,Niedziela,17:30,0.6
189,Raków Częstochowa,1,0,U siebie,Sobota,20:00,0.9
190,Lechia Gdańsk,2,1,U siebie,Sobota,17:45,0.9
191,Jagiellonia Białystok,1,1,Na wyjeździe,Niedziela,15:00,0.6
192,Górnik Zabrze,2,2,U siebie,Sobota,20:00,0.9
193,Warta Poznań,1,0,Na wyjeździe,Sobota,17:45,0.6
194,Cracovia Kraków,0,0,U siebie,Niedziela,15:00,0.9
195,Stal Mielec,1,1,Na wyjeździe,Sobota,17:45,0.6
196,Zagłębie Lubin,3,1,U siebie,Sobota,20:00,0.9
197,Podbeskidzie Bielsko-Biała,4,1,U siebie,Sobota,20:00,0.9
198,Wisła Kraków,2,1,Na wyjeździe,Niedziela,12:30,0.6
199,Śląsk Wrocław,0,1,Na wyjeździe,Sobota,17:45,0.6
200,Piast Gliwice,2,0,U siebie,Sobota,20:00,0.9
201,Legia Warszawa,3,0,U siebie,Niedziela,17:30,0.9
202,Raków Częstochowa,1,1,Na wyjeździe,Poniedziałek,18:00,0.6
203,Lechia Gdańsk,1,1,Na wyjeździe,Sobota,15:00,0.6
204,Jagiellonia Białystok,2,0,U siebie,Sobota,17:45,0.9
